Domain,Area,Element,Item,Year,Unit,Value
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2013","million USD","3.576015"
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2014","million USD","0.785436"
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2015","million USD","-0.443803"
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2016","million USD","4.127052"
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2017","million USD","2.619263"
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2018","million USD","17.788687"
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2019","million USD","3.195422"
"Foreign Direct Investment (FDI)","Estonia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2020","million USD","0.486742"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2018","million USD","0.000011"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2020","million USD","-1.046141"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2013","million USD","1.145704"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2014","million USD","-1.128496"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2015","million USD","1.109508"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2016","million USD","-2.217705"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2017","million USD","0.000011"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2018","million USD","0.000011"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2019","million USD","0.000011"
"Foreign Direct Investment (FDI)","Finland","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2020","million USD","2.092283"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2006","million USD","7.396689"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2007","million USD","21.636881"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2008","million USD","-2.348508"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2009","million USD","-21.122515"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2010","million USD","-30.187368"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2011","million USD","9.201201"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2012","million USD","97.776832"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2013","million USD","-16.927135"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2014","million USD","1.123182"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2015","million USD","26.628204"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2016","million USD","113.717418"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2017","million USD","59.268839"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2018","million USD","432.544048"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2019","million USD","-206.030077"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2020","million USD","92.916218"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2006","million USD","6.163908"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2007","million USD","46.879909"
"Foreign Direct Investment (FDI)","France","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2008","million USD","150.304488"
